comparison,feature_type,feature,species,positive_group,negative_group,effect_name,effect,p_value,q_value,significant_fdr_0_05
CRC_vs_Adenoma,PA,PA_Parabacteroides merdae,Parabacteroides merdae,CRC,Adenoma,prevalence_difference,0.08549690171778179,0.01792103943682605,0.08716141907910852,False
CRC_vs_Adenoma,PA,PA_Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,CRC,Adenoma,prevalence_difference,0.09130127853164949,0.019390326302675846,0.08874085676184501,False
CRC_vs_Adenoma,PA,PA_Bacteroides caccae,Bacteroides caccae,CRC,Adenoma,prevalence_difference,0.0887128402227626,0.020488451147462984,0.08874085676184501,False
CRC_vs_Adenoma,PA,PA_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,CRC,Adenoma,prevalence_difference,0.07898658718330848,0.020733845037814256,0.08874085676184501,False
CRC_vs_Control,PA,PA_Bacteroides stercoris,Bacteroides stercoris,CRC,Control,prevalence_difference,0.0628198337313487,0.022895078386425457,0.09073234767953793,False
CRC_vs_Control,PA,PA_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,CRC,Control,prevalence_difference,0.05670595945630508,0.028087434378283677,0.09132673097088516,False
CRC_vs_Control,PA,PA_Streptococcus thermophilus,Streptococcus thermophilus,CRC,Control,prevalence_difference,-0.0601062970211696,0.027767816376289993,0.09132673097088516,False
CRC_vs_Control,PA,PA_Firmicutes bacterium CAG:110,Firmicutes bacterium CAG:110,CRC,Control,prevalence_difference,-0.05723340455712567,0.025210427916888364,0.09132673097088516,False
CRC_vs_Control,PA,PA_Clostridium sp. CAG:58,Clostridium sp. CAG:58,CRC,Control,prevalence_difference,0.05999856355376798,0.026800902596968983,0.09132673097088516,False
CRC_vs_Control,PA,PA_Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,CRC,Control,prevalence_difference,-0.06103325373027135,0.028166188056441215,0.09132673097088516,False
CRC_vs_Control,PA,PA_Paraprevotella xylaniphila,Paraprevotella xylaniphila,CRC,Control,prevalence_difference,0.058196272422027906,0.02419985774354496,0.09132673097088516,False
Adenoma_vs_Control,rCLR,rCLR_Parabacteroides merdae,Parabacteroides merdae,Adenoma,Control,mean_rCLR_difference,-0.3556576121577885,0.004268963790210895,0.09135582511051316,False
Adenoma_vs_Control,PA,PA_Parabacteroides distasonis,Parabacteroides distasonis,Adenoma,Control,prevalence_difference,-0.08012912895601543,0.011205843662433039,0.09223271322156425,False
Adenoma_vs_Control,rCLR,rCLR_Lachnospira pectinoschiza,Lachnospira pectinoschiza,Adenoma,Control,mean_rCLR_difference,-0.33467086726248063,0.005275978626731661,0.09408828551004796,False
Adenoma_vs_Control,PA,PA_Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,Adenoma,Control,prevalence_difference,-0.09333025883438056,0.013140287010753756,0.10042933643933229,False
CRC_vs_Control,rCLR,rCLR_Bifidobacterium adolescentis,Bifidobacterium adolescentis,CRC,Control,mean_rCLR_difference,-0.1608591898604103,0.028214908554984916,0.10063317384611288,False
CRC_vs_Adenoma,rCLR,rCLR_Coprococcus catus,Coprococcus catus,CRC,Adenoma,mean_rCLR_difference,-0.12693996019348097,0.021644218601726575,0.10069266914716277,False
CRC_vs_Control,PA,PA_Alistipes shahii,Alistipes shahii,CRC,Control,prevalence_difference,0.056088736465983224,0.03358237619480084,0.10266612150981971,False
CRC_vs_Control,PA,PA_Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,CRC,Control,prevalence_difference,-0.05418993410302908,0.03330294751703306,0.10266612150981971,False
Adenoma_vs_Control,rCLR,rCLR_Bacteroides uniformis,Bacteroides uniformis,Adenoma,Control,mean_rCLR_difference,-0.39278163385235754,0.008975015023678678,0.10971275483437475,False
Adenoma_vs_Control,rCLR,rCLR_Bacteroides ovatus,Bacteroides ovatus,Adenoma,Control,mean_rCLR_difference,-0.28674469412043674,0.008493795270260432,0.10971275483437475,False
