feature,species,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,mean_control,mean_adenoma,mean_crc,adenoma_position_between_control_crc
rCLR_Phocaeicola plebeius,Phocaeicola plebeius,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.7586447292071463,0.2423563911862585,0.1299377823578968,0.5213285747548642,0.23981701180025045,0.5327657060738057,-24.61382623878684
rCLR_Phocaeicola vulgatus,Phocaeicola vulgatus,PROGRESSION,False,False,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.38630919979397793,0.0014343242530889882,3.813257952374445e-05,1.9947898234172674,1.2801877718598953,2.142197479597805,-4.847794680909676
rCLR_Prevotella copri,Prevotella copri,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5889331872448664,0.19654364410324254,0.33117743225035773,0.1579220575259295,0.6140320197718471,0.24583811186254562,5.188016747197816
rCLR_Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5257283292370892,0.9314195784864652,0.8042659408977536,-0.43773735493900845,-0.39840666562674026,-0.5221080657177902,-0.46616520056815003
rCLR_Roseburia faecis,Roseburia faecis,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.0007465546666896148,0.6466443617055493,0.1299377823578968,0.8251384648040941,0.7784082248300005,0.4926026334496996,0.1405269314400338
rCLR_Roseburia hominis,Roseburia hominis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.3083782154551589,0.35713929233917746,0.8097859414540772,-0.37337514491272816,-0.4781181080335811,-0.4406912977444024,1.5559855802033935
rCLR_Roseburia intestinalis,Roseburia intestinalis,EARLY,True,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.0007465546666896148,0.03593030402230326,0.7100095578405444,0.18093398206045816,-0.18294149724709907,-0.13127129815926947,1.1655007213570014
rCLR_Roseburia inulinivorans,Roseburia inulinivorans,ORDERED_DECREASING,False,False,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0,0.44769687430531335,0.6248274887837929,0.9169923343591572,0.5903181867830757,0.5043742930710627,0.4645853240238812,0.6835436005033466
rCLR_Ruminococcus bicirculans,Ruminococcus bicirculans,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.2112877502496392,0.10971275483437475,0.4778142775754631,0.27479168834245177,0.08469205285006187,0.18041488024618135,2.0142621829133702
rCLR_Ruminococcus bromii,Ruminococcus bromii,ORDERED_INCREASING,False,False,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9962165354442319,0.970082714322258,0.9283028255846899,0.7846331153887611,0.8454430418830768,0.8778501939631939,0.652347482073896
rCLR_Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0,1.049999323603248e-06,0.4519979961635832,0.05458891901970622,-0.9962255665992432,-0.7888677504568085,-0.46416718343970476,0.38972756130835784
rCLR_Slackia isoflavoniconvertens,Slackia isoflavoniconvertens,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.5054984263932254,0.4230861515708905,0.23798067366570425,-0.5722372932178034,-0.39173235596723516,-0.5339380762190472,4.713018996091499
rCLR_Streptococcus parasanguinis,Streptococcus parasanguinis,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.9364959113918971,0.40729370265832326,0.5724792689985059,-1.0147354796700712,-0.9309652340094534,-1.046397249363704,-2.645785326316238
rCLR_Streptococcus salivarius,Streptococcus salivarius,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0,0.7316695554629353,0.3918963446119355,0.2431893076176395,-0.584600495075216,-0.4451091608434081,-0.7059907506789799,-1.1491147583305927
