contrast,study,feature,n_group1_in_study,n_group0_in_study,mean_diff_clr_in_study
CRC_vs_Control__within_Female,FengQ_2015,Coprobacter,18,25,0.5992282987024986
CRC_vs_Control__within_Female,GuptaA_2019,Coprobacter,12,18,-0.47310332849900194
CRC_vs_Control__within_Female,HanniganGD_2017,Coprobacter,7,17,-0.03536768913263688
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Coprobacter,16,40,-0.34167460718018616
CRC_vs_Control__within_Female,SINHA_CRC_2016,Coprobacter,17,33,0.075178634492715
CRC_vs_Control__within_Female,ThomasAM_2018a,Coprobacter,6,11,1.8981697094313412
CRC_vs_Control__within_Female,ThomasAM_2018b,Coprobacter,9,12,-1.5445530849393985
CRC_vs_Control__within_Female,ThomasAM_2019_c,Coprobacter,19,16,-1.0742167210909224
CRC_vs_Control__within_Female,VogtmannE_2016,Coprobacter,15,15,-0.958653011596592
CRC_vs_Control__within_Female,WirbelJ_2018,Coprobacter,24,28,0.253267913898592
CRC_vs_Control__within_Female,YachidaS_2019,Coprobacter,97,115,-1.2101996975642477
CRC_vs_Control__within_Female,YuJ_2015,Coprobacter,26,21,-0.7700902473935236
CRC_vs_Control__within_Female,ZellerG_2014,Coprobacter,24,33,-1.3639662675611905
Male_vs_Female__within_Control,FengQ_2015,Slackia,36,25,1.3529493405193986
Male_vs_Female__within_Control,GuptaA_2019,Slackia,12,18,0.20731554959244963
Male_vs_Female__within_Control,HanniganGD_2017,Slackia,11,17,-0.49336032448433365
Male_vs_Female__within_Control,KIM_ADENOMAS_2020,Slackia,62,40,0.047311136084514205
Male_vs_Female__within_Control,SINHA_CRC_2016,Slackia,56,33,-0.01843940359682858
Male_vs_Female__within_Control,ThomasAM_2018a,Slackia,13,11,0.39213844032924206
Male_vs_Female__within_Control,ThomasAM_2018b,Slackia,16,12,1.2166295771136237
Male_vs_Female__within_Control,ThomasAM_2019_c,Slackia,24,16,1.6227632474940548
Male_vs_Female__within_Control,VogtmannE_2016,Slackia,37,15,-0.27626126761361536
Male_vs_Female__within_Control,WirbelJ_2018,Slackia,37,28,1.184986464192701
Male_vs_Female__within_Control,YachidaS_2019,Slackia,136,115,0.8348216432860509
Male_vs_Female__within_Control,YuJ_2015,Slackia,33,21,0.20007524759603523
Male_vs_Female__within_Control,ZellerG_2014,Slackia,28,33,0.6232356615153157
Male_vs_Female__within_Control,FengQ_2015,Allisonella,36,25,0.6433675429022885
Male_vs_Female__within_Control,GuptaA_2019,Allisonella,12,18,0.08067434233753024
Male_vs_Female__within_Control,HanniganGD_2017,Allisonella,11,17,0.34280424305730994
Male_vs_Female__within_Control,KIM_ADENOMAS_2020,Allisonella,62,40,-0.011817937549321256
Male_vs_Female__within_Control,SINHA_CRC_2016,Allisonella,56,33,-0.09089748478005433
Male_vs_Female__within_Control,ThomasAM_2018a,Allisonella,13,11,0.34604266725955224
