Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,RandomForest,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.0017074357860122342,0.001736397331984347,-7.857294276677836e-05,68.5,65.0,45,10,0,10,0.0,0.04778451311041937,0.016724579588646777,65
All,RandomForest,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.0016982250077665427,0.0015536326440309485,-0.00023358086531370626,72.6,69.0,40,10,0,10,0.0,0.04752673910952042,0.016634358688332147,66
All,RandomForest,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.0016638774001233203,0.0013227774464841628,-0.00032031804318988623,78.1,87.0,29,10,0,10,0.0,0.04656548263288749,0.01629791892151062,67
All,RandomForest,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.0016466339477491884,0.0015220818549909116,-0.00010475812042775122,73.9,71.0,42,10,0,10,0.0,0.046082905201401764,0.016129016820490616,68
All,RandomForest,rCLR_Slackia isoflavoniconvertens,rCLR,Slackia isoflavoniconvertens,0.0016424053056658828,0.0016053111605009614,-0.0006063224766663193,73.4,71.0,45,10,0,10,0.0,0.04596456189108559,0.016087596661879956,69
All,RandomForest,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.0016239159799041926,0.0015492233105908989,1.3943757667058252e-05,75.0,73.0,38,10,0,10,0.0,0.045447117289947325,0.015906491051481564,70
All,RandomForest,rCLR_Acidaminococcus intestini,rCLR,Acidaminococcus intestini,0.0016211977521824507,0.0015598142576126336,-0.0004966150972888262,79.0,68.0,29,10,0,10,0.0,0.045371044626324616,0.015879865619213614,71
All,RandomForest,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0016124690092897275,0.0014935171224501002,-0.0003836728553244878,73.4,75.0,40,10,0,10,0.0,0.045126760927568975,0.01579436632464914,72
All,RandomForest,rCLR_Eubacterium ramulus,rCLR,Eubacterium ramulus,0.001606525596181165,0.001429044128102517,0.0001845764565096685,77.3,82.0,31,10,0,10,0.0,0.044960427819212355,0.015736149736724322,73
All,RandomForest,rCLR_Prevotella copri,rCLR,Prevotella copri,0.0015868243289537027,0.0015660269189758896,0.0005311230659454955,76.0,72.0,42,10,0,10,0.0,0.044409065671461405,0.01554317298501149,74
All,RandomForest,rCLR_Enterocloster bolteae,rCLR,Enterocloster bolteae,0.0015837530553199238,0.0015225561977804346,-0.0003489908308910821,73.5,74.0,46,10,0,10,0.0,0.044323112620446956,0.015513089417156433,75
All,RandomForest,rCLR_Phascolarctobacterium succinatutens,rCLR,Phascolarctobacterium succinatutens,0.0015640950828626412,0.0013477291720837533,0.0005395759362608093,77.7,84.0,37,10,0,10,0.0,0.04377296212559107,0.015320536743956874,76
All,RandomForest,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.0015268739408234554,0.001344337141651177,0.00010994975672757906,84.5,82.0,30,10,0,10,0.0,0.042731286553176005,0.014955950293611601,77
All,RandomForest,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.0015259315856574467,0.0011190635631598178,0.00036658530874463755,82.3,94.5,33,10,0,10,0.0,0.04270491368272682,0.014946719788954385,78
All,RandomForest,rCLR_[Eubacterium] rectale,rCLR,[Eubacterium] rectale,0.0015227169173355802,0.0014178756902230977,6.718962623235839e-06,76.2,75.5,52,10,0,10,0.0,0.04261494756989827,0.014915231649464393,79
All,RandomForest,rCLR_Alistipes inops,rCLR,Alistipes inops,0.0015152917298283943,0.001395892425888353,0.0008011583521272111,80.0,82.0,43,10,0,10,0.0,0.042407145336460776,0.01484250086776127,80
All,RandomForest,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0015050775416837225,0.001325692712351484,0.00018012068944920425,80.1,83.5,34,10,0,10,0.0,0.042121289779660426,0.014742451422881149,81
All,RandomForest,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.0014700323108436156,0.0014898249946635152,-9.540952000283785e-05,79.7,78.5,53,10,0,10,0.0,0.04114050953231193,0.014399178336309174,82
All,RandomForest,rCLR_Blautia wexlerae,rCLR,Blautia wexlerae,0.001459132545998454,0.0013557623998101734,-0.00021396906117709767,81.0,81.5,51,10,0,10,0.0,0.04083546733956244,0.014292413568846854,83
All,RandomForest,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.0014567334301231378,0.0012305788104489891,0.0004483560024475566,81.6,92.0,46,10,0,10,0.0,0.04076832538029427,0.014268913883102993,84
All,RandomForest,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.0014407689121969445,0.0014124995603359536,-2.4063223301898405e-06,82.0,83.5,53,10,0,10,0.0,0.04032154036946385,0.014112539129312348,85
All,RandomForest,PA_Bacteroides fragilis,PA,Bacteroides fragilis,0.001430676079301221,0.001230055127839301,-7.533926256856024e-05,85.5,89.0,34,10,0,10,0.0,0.040039081075956044,0.014013678376584614,86
All,RandomForest,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.0014043005866240378,0.001192145613481345,-0.00016733952571081144,89.1,90.5,30,10,0,10,0.0,0.039300933213558126,0.013755326624745342,87
All,RandomForest,rCLR_Bacteroides eggerthii,rCLR,Bacteroides eggerthii,0.0014038140726080686,0.00122055324800529,-0.0003063616820041551,85.5,91.0,45,10,0,10,0.0,0.03928731757098759,0.013750561149845656,88
All,RandomForest,rCLR_Ruminococcus bicirculans,rCLR,Ruminococcus bicirculans,0.0013933551687801587,0.0013148840838516122,-8.107478920358865e-05,84.0,86.0,49,10,0,10,0.0,0.03899461337023249,0.01364811467958137,89
All,RandomForest,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.0013698119459514993,0.0011317890019744187,0.0003137009822179501,86.9,93.0,44,10,0,10,0.0,0.03833572976879113,0.013417505419076894,90
