comparison,stratum,species,feature,study,group1,group0,n_group1,n_group0,mean_group1,mean_group0,sd_group1,sd_group0,hedges_g,variance,se
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,ThomasAM_2018a,CRC,Control,29,24,-0.3266300459915939,-0.9640794158217946,1.0702875235831282,1.4876091360857184,0.49237542128332223,0.07852622485092425,0.2802253108677449
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,ThomasAM_2018b,CRC,Control,32,28,1.7309854426252793,1.6310996285397577,0.9974451081880195,0.8565967530092509,0.10549623372281658,0.06706022929471415,0.2589598990089279
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,ThomasAM_2019_c,CRC,Control,40,40,0.6605157795465286,0.3956224274794419,0.9749665418891132,1.026106168854774,0.2621118991230426,0.050440401587576206,0.22458940666820465
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,VogtmannE_2016,CRC,Control,52,52,0.9092538492620137,0.973195231875515,1.3417537101573405,0.8962570232948059,-0.05562865257332845,0.038476707809514565,0.19615480572627977
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,WirbelJ_2018,CRC,Control,60,65,0.8436712079983076,0.8796842522555094,1.411645629838368,1.0623632997855041,-0.028813689747546337,0.03205465696476525,0.17903814388214945
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,YachidaS_2019,CRC,Control,258,251,0.550914810538756,0.4121109974602262,0.9201234532196083,0.9409904958331945,0.14895501286222634,0.00788191399550939,0.08878014415120866
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,YuJ_2015,CRC,Control,74,54,0.7390156572439637,0.6227364371827327,1.5340607525970582,1.116051784690271,0.08413466986540513,0.03206012188391045,0.17905340511677081
CRC_vs_Control,All,Dorea longicatena,rCLR_Dorea longicatena,ZellerG_2014,CRC,Control,53,61,1.0408657237937249,1.3378220888298469,1.6918646325631845,1.4587314990112186,-0.1877217682573125,0.03541868617927794,0.18819852863207495
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,FengQ_2015,CRC,Control,46,61,-0.16853860719163763,0.9245097795056123,2.1150350929983674,1.4785406654872133,-0.6098727550952673,0.039903738664435764,0.19975920170153805
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,HanniganGD_2017,CRC,Control,27,28,0.12300870564460291,0.17728584087819027,0.44441043692191334,0.5681640289893356,-0.10466387069379605,0.0728546673346115,0.2699160375646684
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,ThomasAM_2018a,CRC,Control,29,24,-0.12612153690032393,-0.39854865870728123,0.5032959687951658,1.0908870508505761,0.32650543500996576,0.0771945801804058,0.2778391264390345
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,ThomasAM_2018b,CRC,Control,32,28,0.5611198344954733,0.6268236191214955,0.8844587772286301,0.9542932305472912,-0.07067177009924891,0.06700734174091469,0.2588577635322431
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,ThomasAM_2019_c,CRC,Control,40,40,0.13394855533856617,0.11564308758114614,0.44354675978504055,0.35605278330977636,0.04507586869670018,0.05001302457653053,0.22363591969209806
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,VogtmannE_2016,CRC,Control,52,52,0.07874822038329546,0.406505867835976,0.8542984907770133,0.827527461954549,-0.3868420909826571,0.03919510122308667,0.19797752706579266
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,WirbelJ_2018,CRC,Control,60,65,-0.03703204044015656,0.026023377703239186,0.9118798588817221,1.091348424620232,-0.06209561825815362,0.032066956302529454,0.1790724889605588
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,YachidaS_2019,CRC,Control,258,251,0.06733597020243312,0.11528057980510113,0.548585226884633,0.44431848364518906,-0.0957670283713475,0.007869077435219736,0.08870782059784658
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,YuJ_2015,CRC,Control,74,54,-0.4185073271756612,0.31830526000937426,1.9233598700928525,1.5877681591819142,-0.40919913779945616,0.03269649208907893,0.18082171354425036
CRC_vs_Control,All,Eubacterium sp. CAG:251,rCLR_Eubacterium sp. CAG:251,ZellerG_2014,CRC,Control,53,61,0.355002157387689,0.2966912309668649,1.5321683644538011,1.4876605942734433,0.03839577697619037,0.035267948560581304,0.18779762661061855
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,FengQ_2015,CRC,Control,46,61,1.67791004336915,1.8988743987873526,1.1269701791529887,1.765918659824293,-0.14383653076399655,0.038231091855744005,0.1955277265651703
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,HanniganGD_2017,CRC,Control,27,28,1.4303018772070908,1.4318202880982338,1.088929863766395,1.5382024789337898,-0.0011196996442798934,0.07275133457893872,0.26972455316292343
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,ThomasAM_2018a,CRC,Control,29,24,0.37185952996913035,0.5806169349754687,1.5378761772897525,1.524183680060115,-0.13427572881623073,0.0763261897123478,0.2762719488336588
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,ThomasAM_2018b,CRC,Control,32,28,1.605438729168397,1.4037824288634615,1.0052667832226214,1.1270128415840504,0.18712208000771702,0.06726613634209963,0.2593571598049679
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,ThomasAM_2019_c,CRC,Control,40,40,0.4954516492899329,0.4831641565220982,1.635904464693608,1.0558666921258963,0.008838723294114854,0.050000500788650454,0.22360791754463985
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,VogtmannE_2016,CRC,Control,52,52,1.0693503732069691,1.3354925545717602,1.1648593107468925,1.169069615008806,-0.2263822283656989,0.03871275862487091,0.19675558092433088
CRC_vs_Control,All,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,WirbelJ_2018,CRC,Control,60,65,1.4484227081268415,1.6842129208211924,1.360564130553151,0.882615943420361,-0.20607131337903706,0.03222390557241116,0.17951018236415214
