contrast,group1_label,group0_label,n_group1,n_group0,feature,mean_group1,mean_group0,median_group1,median_group0,mean_diff_clr,median_diff_clr,abs_mean_diff,ranksum_stat,p_value,rank_biserial,fdr_bh,significant_fdr_0_05
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Klebsiella,-1.1079550218706524,-0.9102490760387271,-1.8180242802152249,-1.7097174133830424,-0.19770594583192536,-0.10830686683218249,0.19770594583192536,-0.7519502929675256,0.45208095171085716,-0.02946190951430472,0.749573514484101,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Lancefieldella,-2.254264776259209,-2.3094036656180674,-2.4462418421593144,-2.515871038196549,0.05513888935885847,0.06962919603723439,0.05513888935885847,0.7503583022272979,0.45303893732555556,0.029399534264803684,0.749573514484101,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Enterocloster,0.4762615478989892,0.6080960466326845,0.1970873518893148,0.6605561443514785,-0.13183449873369524,-0.46346879246216366,0.13183449873369524,-0.70498656613081,0.480818596343082,-0.027621839654025315,0.7813302190575083,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Gemmiger,0.9999485775836553,1.141558899116509,1.4730097853677195,1.631323329952073,-0.1416103215328538,-0.15831354458435354,0.1416103215328538,-0.6673094519454223,0.5045744901505029,-0.026145625415834983,0.7847901963927626,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Dorea,3.0748192743089104,2.957418591551724,3.951024960370141,3.909699382336848,0.11740068275718629,0.04132557803329284,0.11740068275718629,0.6707587652159156,0.5023742198570269,0.026280771789753743,0.7847901963927626,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Enorma,-1.6692242464372917,-1.7619602319855712,-1.7660395818757095,-1.8681001209089592,0.09273598554827944,0.10206053903324963,0.09273598554827944,0.6606761571944738,0.5088200174414614,0.025885728542914155,0.7847901963927626,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Butyrivibrio,-1.8652475953435197,-1.6891773774605061,-2.418953815997969,-2.3062480850676175,-0.17607021788301358,-0.11270573093035141,0.17607021788301358,-0.6293670059699967,0.5291088132355566,-0.02465901530272785,0.8024817000739275,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Monoglobus,-1.8502826052046903,-1.6837011727190607,-2.3266000326407035,-2.26230615720927,-0.16658143248562962,-0.06429387543143328,0.16658143248562962,-0.5418075152574762,0.5879511136562368,-0.02122837658017296,0.8268415866546368,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Lachnospira,3.2399453882462357,3.110273342030149,4.040758851573624,3.972342067152497,0.12967204621608674,0.0684167844211272,0.12967204621608674,0.5266836032253135,0.5984133239745373,0.020635811709913465,0.8268415866546368,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Lacrimispora,-1.7357045137670966,-1.8621021370567086,-2.1344442019708336,-2.1626159295099385,0.12639762328961202,0.028171727539104907,0.12639762328961202,0.5136823455134544,0.607474097065529,0.02012641383898872,0.8268415866546368,False
