Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,LASSO,PA_Phocaeicola vulgatus,PA,Phocaeicola vulgatus,0.07097658285191702,0.06359800842586988,-0.0004035812625775972,100.4,103.5,49,10,0,10,0.0,0.07164731683171584,0.025076560891100542,98
All,LASSO,PA_Eubacterium sp. CAG:251,PA,Eubacterium sp. CAG:251,0.07038004306567279,0.06622530399243515,-0.006136151904151658,97.9,97.0,71,10,0,10,0.0,0.07104513970018309,0.02486579889506408,99
All,LASSO,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,0.06982905818965393,0.07489280106100635,-0.008400128409555053,108.9,91.0,48,10,0,10,0.0,0.07048894797616097,0.024671131791656337,100
All,LASSO,rCLR_Alistipes inops,rCLR,Alistipes inops,0.06926942366044384,0.06288543980244862,0.00785001110214246,103.8,103.0,46,10,0,10,0.0,0.06992402485908249,0.024473408700678868,101
All,LASSO,PA_Desulfovibrio piger,PA,Desulfovibrio piger,0.06921196601649657,0.06986348401150552,-0.0032465397500176705,109.1,91.0,40,10,0,10,0.0,0.0698660242361322,0.024453108482646268,102
All,LASSO,rCLR_Anaerotignum lactatifermentans,rCLR,Anaerotignum lactatifermentans,0.06870800740932673,0.06973478687475235,-0.0013234243193314462,104.4,112.5,51,10,0,10,0.0,0.06935730318269263,0.02427505611394242,103
All,LASSO,PA_Alistipes inops,PA,Alistipes inops,0.06863997979591033,0.062320570426134085,0.009284918248557442,104.2,95.0,60,10,0,10,0.0,0.06928863270327663,0.024251021446146822,104
All,LASSO,PA_Erysipelatoclostridium ramosum,PA,Erysipelatoclostridium ramosum,0.06720986769560956,0.06894378788908899,0.006849423625429745,112.9,105.5,43,10,0,10,0.0,0.0678450059374052,0.023745752078091816,105
All,LASSO,PA_Firmicutes bacterium CAG:83,PA,Firmicutes bacterium CAG:83,0.06624878957318682,0.05715140437693414,0.0018965317262937288,109.8,106.0,40,10,0,10,0.0,0.06687484555534064,0.023406195944369223,106
All,LASSO,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.06448904254087326,0.06517065402412567,0.012779325524487734,107.0,110.0,62,10,0,10,0.0,0.06509846878286495,0.02278446407400273,107
All,LASSO,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.06268690738390839,0.07047026082782326,-0.008665191076453648,105.8,101.0,64,10,0,10,0.0,0.06327930331481159,0.022147756160184055,108
