feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Paraprevotella xylaniphila,Paraprevotella xylaniphila,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.1016461887675069,0.27061551961320973,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Alistipes finegoldii,Alistipes finegoldii,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.034344291225754,0.30097523789512837,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Coprobacter fastidiosus,Coprobacter fastidiosus,Adenoma,Control,183,397,4,FengQ_2015;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.006950031654114,0.3139587872767846,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Roseburia inulinivorans,Roseburia inulinivorans,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.9877828532913798,0.3232590068729878,0.2688724873276709,0.5683182525258316,-0.2994457651981607,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.9728616366016462,0.3306220739831536,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Odoribacter splanchnicus,Odoribacter splanchnicus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.9514981788028852,0.3413515425917132,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Eggerthella lenta,Eggerthella lenta,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.9422663383539895,0.3460562976016318,0.0,-0.3280123278719591,0.3280123278719591,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Flavonifractor plautii,Flavonifractor plautii,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.9421782987585485,0.3461013625100595,0.0,-0.0820788370953841,0.0820788370953841,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8229521286350304,False
rCLR_Oscillibacter sp. 57_20,Oscillibacter sp. 57_20,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.9043990944333561,0.3657838181897489,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8508449683978943,False
rCLR_Slackia isoflavoniconvertens,Slackia isoflavoniconvertens,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.8638388090131739,0.3876764452313457,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
